loan_id,origination_date,vintage,months_on_book,fico_score,income,debt_to_income,num_open_trades,utilization_rate,inquiries_last_6m,loan_amount,term,apr,channel,product_type,employment_length,state,age,days_past_due_current,total_payments_to_date,sample_weight,default_12m
LOAN_000000,2024-03-01,202403,6,738,81758,0.077,7,0.2484,0,31930,36,7.02,Direct,Personal,28,Other,35,15,26162.66,1.0679,0
LOAN_000001,2023-05-01,202305,23,818,21891,0.696,8,0.5129,99,42735,36,11.9,Direct,Auto,5,IL,35,0,41235.13,1.0211,0
LOAN_000002,2022-03-01,202203,1,800,82072,0.1439,10,0.5875,1,17564,36,14.01,Partner,Home_Improvement,9,Other,73,0,16494.83,0.8348,0
LOAN_000003,2024-07-01,202407,0,657,40335,0.167,8,0.2927,1,24951,60,10.88,Direct,Debt_Consolidation,14,Other,22,0,23241.67,1.0255,0
LOAN_000004,2021-08-01,202108,9,771,11733,0.0337,3,0.1871,0,46939,36,18.1,Partner,Personal,36,NY,54,0,44836.86,1.037,0
LOAN_000005,2022-09-01,202209,0,810,47433,0.2408,6,0.2891,4,10354,36,33.03,Partner,Auto,22,CA,28,0,5907.82,1.1099,0
LOAN_000006,2024-03-01,202403,12,799,111880,0.1174,13,0.8248,3,41911,60,11.28,Partner,Home_Improvement,8,Other,26,0,40191.81,1.0355,0
LOAN_000007,2022-07-01,202207,16,634,91878,0.4901,10,0.3723,1,46203,36,12.41,Direct,Business,8,TX,25,0,43465.53,0.8927,0
LOAN_000008,2022-11-01,202211,8,790,50925,0.2595,5,0.6409,1,25049,36,10.96,Partner,Auto,37,Other,25,0,24734.94,1.0788,0
LOAN_000009,2021-11-01,202111,3,687,37581,0.3218,8,0.6067,3,11803,36,14.31,Direct,Home_Improvement,4,NY,55,0,11117.98,0.9058,0
LOAN_000010,2021-11-01,202111,8,804,52678,0.7424,11,0.1109,1,5042,36,16.31,Partner,Auto,31,Other,61,15,4168.31,1.0249,0
LOAN_000011,2022-12-01,202212,6,701,56928,0.2995,6,0.5902,2,19816,36,13.64,Partner,Personal,18,TX,31,15,11965.41,1.1231,0
LOAN_000012,2023-12-01,202312,22,665,30918,0.8004,6,0.576,0,16992,60,9.03,Direct,Home_Improvement,32,NY,41,15,9554.46,0.9995,0
LOAN_000013,2024-04-01,202404,1,772,48290,0.1171,7,0.6073,4,2242,60,5.4,Direct,Auto,26,Other,62,0,1645.73,0.8015,0
LOAN_000014,2022-12-01,202212,17,786,50671,0.5262,7,0.5992,0,35593,36,4.01,Direct,Auto,32,TX,60,0,31150.14,1.1076,0
LOAN_000015,2021-03-01,202103,20,596,70716,0.2729,8,0.4634,5,49058,60,19.51,Partner,Debt_Consolidation,2,FL,73,0,34833.15,0.9264,0
LOAN_000016,2022-10-01,202210,14,807,77881,0.2279,6,0.7217,2,46302,36,8.56,Direct,Personal,4,CA,34,0,45458.71,0.864,0
LOAN_000017,2021-02-01,202102,9,644,45258,0.7124,11,0.1837,2,19144,60,3.0,Direct,Debt_Consolidation,19,GA,65,0,14140.09,0.9602,0
LOAN_000018,2022-12-01,202212,16,679,61103,0.6607,11,0.198,3,8640,60,12.23,Partner,Debt_Consolidation,0,NY,25,0,6330.63,1.1193,0
LOAN_000019,2024-08-01,202408,6,707,26616,0.1107,7,0.8502,2,16665,36,26.66,Direct,Debt_Consolidation,30,FL,66,0,8639.95,0.8806,0
LOAN_000020,2023-06-01,202306,10,702,16442,0.25,11,0.7206,2,10713,60,9.64,Direct,Business,35,FL,57,15,7427.2,1.0443,0
LOAN_000021,2024-02-01,202402,6,632,76512,0.3798,6,0.2786,0,25864,36,20.26,Partner,Home_Improvement,19,Other,31,15,17823.3,0.8841,0
LOAN_000022,2021-02-01,202102,10,739,25715,0.3412,5,0.8515,0,49117,36,3.0,Partner,Debt_Consolidation,34,NY,46,0,48712.85,1.0229,0
LOAN_000023,2022-09-01,202209,23,803,28999,0.6704,5,0.3209,2,28642,60,7.31,Direct,Personal,33,NY,58,0,14860.98,1.0076,0
LOAN_000024,2023-09-01,202309,22,806,76596,0.2668,6,0.6528,0,4040,60,3.0,Partner,Debt_Consolidation,10,NY,28,0,3137.74,0.9824,0
LOAN_000025,2021-12-01,202112,23,740,8613,0.5976,12,0.4264,4,38740,36,12.6,Direct,Personal,29,CA,49,15,20316.83,1.1967,0
LOAN_000026,2022-10-01,202210,14,736,66755,0.4725,11,0.0964,4,42150,36,12.5,Partner,Home_Improvement,9,TX,23,0,26876.72,1.1309,0
LOAN_000027,2024-08-01,202408,18,661,23548,0.4059,6,0.1586,2,11338,60,7.07,Direct,Business,27,NY,45,0,7884.29,1.0577,0
LOAN_000028,2023-01-01,202301,18,643,51064,0.4013,7,0.2431,0,37365,36,18.95,Direct,Business,6,Other,55,15,32124.21,0.9643,0
LOAN_000029,2023-03-01,202303,23,847,42695,0.5177,15,0.448,2,35701,36,18.95,Direct,Debt_Consolidation,32,Other,70,15,34596.51,1.0055,0
LOAN_000030,2024-06-01,202406,24,783,34663,0.4971,10,0.4958,1,22878,36,22.37,Direct,Home_Improvement,18,Other,57,0,17215.03,1.0304,0
LOAN_000031,2023-04-01,202304,9,614,67835,0.4832,4,0.6374,1,13922,60,11.54,Direct,Personal,8,Other,41,0,9595.34,1.0,0
LOAN_000032,2022-04-01,202204,15,686,35381,0.192,7,0.8395,2,21805,36,7.61,Direct,Personal,7,CA,58,0,17584.49,0.8538,0
LOAN_000033,2022-03-01,202203,19,663,14383,0.2911,4,0.225,0,24997,36,3.0,Direct,Auto,6,FL,52,0,23232.81,0.9078,0
LOAN_000034,2024-08-01,202408,7,748,55969,0.1764,8,0.0794,0,22333,60,8.48,Direct,Personal,36,Other,54,0,17959.69,1.1754,0
LOAN_000035,2021-03-01,202103,0,600,21558,0.2631,9,0.9157,4,5322,60,6.28,Direct,Debt_Consolidation,34,Other,25,0,3945.76,0.8688,0
LOAN_000036,2024-01-01,202401,1,767,233403,0.3062,12,0.6743,2,37608,60,15.97,Direct,Debt_Consolidation,30,CA,24,0,19424.37,1.114,0
LOAN_000037,2021-07-01,202107,9,565,44543,0.2189,9,0.8267,0,16545,36,20.05,Partner,Auto,13,Other,23,0,15195.66,0.9276,0
